Player,Ft.,In.,PlayerID
Jordan Wicks,6,3,wicksjo01
Trevor Williams,6,3,willitr01
Steven Wilson,6,3,wilsost02
Simeon Woods Richardson,6,3,woodssi01
Alex Young,6,3,youngal01
Danny Young,6,3,youngda02
Rob Zastryzny,6,3,zastrro01
Joan Adon,6,2,adonjo01
Tyler Alexander,6,2,alexaty01
Scott Alexander,6,2,alexasc02
José Alvarado,6,2,alvarjo03
Tyler Anderson,6,2,anderty01
Matt Andriese,6,2,andrima01
Shawn Armstrong,6,2,armstsh01
Spencer Arrighetti,6,2,arrigsp01
Graham Ashcraft,6,2,ashcrgr01
Lake Bachar,6,2,bachala01
Anthony Banda,6,2,bandaan01
Jacob Barnes,6,2,barneja01
Brady Basso,6,2,bassobr01
Shane Baz,6,2,bazsh01
Tyler Beede,6,2,beedety01
Clayton Beeter,6,2,beetecl01
Jonathan Bermúdez,6,2,bermujo01
Tanner Bibee,6,2,bibeeta01
Brandon Bielak,6,2,bielabr01
Bradley Blalock,6,2,blalobr01
Cody Bolton,6,2,boltoco01
Taj Bradley,6,2,bradlta01
Jhony Brito,6,2,britojh01
Hunter Brown,6,2,brownhu01
Justin Bruihl,6,2,bruihju01
Zach Brzykcy,6,2,brzykza01
Walker Buehler,6,2,buehlwa01
Génesis Cabrera,6,2,cabrege01
Griffin Canning,6,2,cannigr01
Matt Carasiti,6,2,carasma01
Ben Casparius,6,2,caspabe01
Luis Castillo,6,2,castilu02
Dylan Cease,6,2,ceasedy01
Andrew Chafin,6,2,chafian01
Yonny Chirinos,6,2,chiriyo01
Angel Chivilli,6,2,chivian01
Aaron Civale,6,2,civalaa01
Emmanuel Clase,6,2,claseem01
Tom Cosgrove,6,2,cosgrto01
Fernando Cruz,6,2,cruzfe01
Tucker Davidson,6,2,davidtu01
Noah Davis,6,2,davisno01
Brett de Geus,6,2,degeubr01
Reid Detmers,6,2,detmere01
Alexis Díaz,6,2,diazal03
Dylan Dodd,6,2,dodddy01
Camilo Doval,6,2,dovalca01
Scott Effross,6,2,effrosc01
Brandon Eisert,6,2,eiserbr01
Bryce Elder,6,2,elderbr01
Nathan Eovaldi,6,2,eovalna01
Lucas Erceg,6,2,erceglu01
Joey Estes,6,2,estesjo01
J.P. Feyereisen,6,2,feyerjo01
Kyle Finnegan,6,2,finneky01
Josh Fleming,6,2,flemijo01
Dylan Floro,6,2,florody01
Giovanny Gallegos,6,2,gallegi01
Zac Gallen,6,2,galleza01
Luis García,6,2,garcilu03
Reed Garrett,6,2,garrere01
Braxton Garrett,6,2,garrebr01
Kevin Gausman,6,2,gausmke01
Domingo Germán,6,2,germado01
Luis Gil,6,2,gillu01
Logan Gillaspie,6,2,gillalo01
J.T. Ginn,6,2,ginnjt01
MacKenzie Gore,6,2,gorema01
DL Hall,6,2,halldl01
Seth Halvorsen,6,2,halvose01
Kyle Harrison,6,2,harriky01
Andrew Heaney,6,2,heanean01
Ryan Helsley,6,2,helslry01
DJ Herz,6,2,herzdj01
Jordan Hicks,6,2,hicksjo03
Tyler Holton,6,2,holtoty01
Brent Honeywell Jr.,6,2,honeybr01
Bailey Horn,6,2,hornba01
Brandon Hughes,6,2,hughebr01
Raisel Iglesias,6,2,iglesra01
Jairo Iriarte,6,2,iriarja01
Luke Jackson,6,2,jackslu01
Bryce Jarvis,6,2,jarvibr01
Griffin Jax,6,2,jaxgr01
Jackson Jobe,6,2,jobeja01
Pierce Johnson,6,2,johnspi01
Janson Junk,6,2,junkja01
Merrill Kelly,6,2,kellyme01
Kevin Kelly,6,2,kellyke02
Orion Kerkering,6,2,kerkeor01
Dallas Keuchel,6,2,keuchda01
John King,6,2,kingjo01
Landon Knack,6,2,knackla01
Dean Kremer,6,2,kremede01
Peter Lambert,6,2,lambepe01
Jacob Latz,6,2,latzja01
Casey Legumina,6,2,legumca01
Brendon Little,6,2,littlbr02
Rhett Lowder,6,2,lowderh01
Ron Marinaccio,6,2,marinro01
Alec Marsh,6,2,marshal01
Yunior Marté,6,2,marteyu01
Seth Martinez,6,2,martise01
Davis Martin,6,2,martida03
Phil Maton,6,2,matonph01
Isaac Mattson,6,2,mattsis01
Steven Matz,6,2,matzst01
Adam Mazur,6,2,mazurad01
Trevor McDonald,6,2,mcdontr01
Nick Mears,6,2,mearsni01
Víctor Mederos,6,2,medervi01
Cristian Mena,6,2,menacr01
Matt Mervis,6,2,mervima01
Bryce Miller,6,2,millebr04
Carmen Mlodzinski,6,2,mlodzca01
Frankie Montas,6,2,montafr02
Mason Montgomery,6,2,montgma01
Andrés Muñoz,6,2,munozan01
Roddery Muñoz,6,2,munozro01
Héctor Neris,6,2,nerishe01
Aaron Nola,6,2,nolaaa01
Dedniel Núñez,6,2,nunezde01
Steven Okert,6,2,okertst01
Luis Ortiz,6,2,ortizlu03
Emilio Pagán,6,2,paganem01
Joel Payamps,6,2,payamjo01
Walter Pennington,6,2,penniwa01
Zach Penrod,6,2,penroza01
Sammy Peralta,6,2,peralsa01
Evan Phillips,6,2,phillev01
Ryan Pressly,6,2,pressry01
Tanner Rainey,6,2,raineta01
Emmanuel Ramírez,6,2,ramirem01
Robbie Ray,6,2,rayro02
Lyon Richardson,6,2,richaly01
Trevor Richards,6,2,richatr01
Emmanuel Rivera,6,2,riverem01
Carlos Rodón,6,2,rodonca01
Yerry Rodríguez,6,2,rodriye01
Eduardo Rodríguez,6,2,rodried05
Landen Roupp,6,2,rouppla01
River Ryan,6,2,ryanri01
Ryder Ryan,6,2,ryanry01
Joe Ryan,6,2,ryanjo04
Eduardo Salazar,6,2,salazed01
Dennis Santana,6,2,santade01
Gregory Santos,6,2,santogr01
John Schreiber,6,2,schrejo01
Colin Selby,6,2,selbyco01
Luis Severino,6,2,severlu01
Lucas Sims,6,2,simslu01
Drew Smith,6,2,smithdr01
Pavin Smith,6,2,smithpa04
Drew Smyly,6,2,smylydr01
George Soriano,6,2,soriage01
Justin Steele,6,2,steelju01
Jackson Stephens,6,2,stephja01
Matt Strahm,6,2,strahma01
Chris Stratton,6,2,stratch01
Peter Strzelecki,6,2,strzepe01
Robert Suarez,6,2,suarero01
Dillon Tate,6,2,tatedi01
Julio Teheran,6,2,teherju01
Zack Thompson,6,2,thompza02
